ds,y
2015-10-18,110
2015-10-25,116
2015-11-01,155
2015-11-08,174
2015-11-15,200
2015-11-22,211
2015-11-29,316
2015-12-06,413
2015-12-13,446
2015-12-20,312
2015-12-27,218
2016-01-03,550
2016-01-10,476
2016-01-17,470
2016-01-24,476
2016-01-31,473
2016-02-07,646
2016-02-14,889
2016-02-21,875
2016-02-28,1064
2016-03-06,1328
2016-03-13,1462
2016-03-20,1877
2016-03-27,3127
2016-04-03,2968
2016-04-10,2863
2016-04-17,2312
2016-04-24,2254
2016-05-01,1339
2016-05-08,1232
2016-05-15,976
2016-05-22,503
2016-05-29,540
2016-06-05,508
2016-06-12,314
2016-06-19,262
2016-06-26,234
2016-07-03,228
2016-07-10,187
2016-07-17,143
2016-07-24,133
2016-07-31,95
2016-08-07,95
2016-08-14,74
2016-08-21,63
2016-08-28,64
2016-09-04,48
2016-09-11,50
2016-09-18,47
2016-09-25,32
2016-10-02,34
2016-10-09,39
2016-10-16,63
2016-10-23,54
2016-10-30,37
2016-11-06,65
2016-11-13,72
2016-11-20,107
2016-11-27,133
2016-12-04,127
2016-12-11,102
2016-12-18,135
2016-12-25,252
2017-01-01,196
2017-01-08,213
2017-01-15,219
2017-01-22,282
2017-01-29,237
2017-02-05,236
2017-02-12,223
2017-02-19,115
2017-02-26,131
2017-03-05,135
2017-03-12,159
2017-03-19,134
2017-03-26,123
2017-04-02,129
2017-04-09,95
2017-04-16,86
2017-04-23,87
2017-04-30,95
2017-05-07,86
2017-05-14,52
2017-05-21,34
2017-05-28,58
2017-06-04,74
2017-06-11,34
2017-06-18,38
2017-06-25,29
2017-07-02,31
2017-07-09,30
2017-07-16,40
2017-07-23,33
2017-07-30,39
2017-08-06,24
2017-08-13,27
2017-08-20,35
2017-08-27,31
2017-09-03,32
2017-09-10,36
2017-09-17,54
2017-09-24,37
2017-10-01,59
2017-10-08,56
2017-10-15,61
2017-10-22,53
2017-10-29,38
2017-11-05,59
2017-11-12,56
2017-11-19,49
2017-11-26,61
2017-12-03,84
2017-12-10,67
2017-12-17,56
2017-12-24,58
2017-12-31,133
2018-01-07,105
2018-01-14,126
2018-01-21,97
2018-01-28,107
2018-02-04,74
2018-02-11,78
2018-02-18,129
2018-02-25,144
2018-03-04,197
2018-03-11,179
2018-03-18,200
2018-03-25,237
2018-04-01,289
2018-04-04,279
2018-04-15,251
2018-04-22,264
2018-04-29,313
2018-05-06,331
2018-05-13,328
2018-05-20,211
2018-05-27,197
2018-06-03,194
2018-06-10,196
2018-06-17,160
2018-06-24,193
2018-07-01,218
2018-07-08,153
2018-07-15,152
2018-07-22,119
2018-07-29,92
2018-08-05,120
2018-08-12,75
2018-08-19,67
2018-08-26,68
2018-09-02,51
2018-09-09,54
2018-09-16,63
2018-09-23,41
2018-09-30,59
2018-10-07,43
2018-10-14,72
2018-10-21,70
2018-10-28,66
2018-11-04,71
2018-11-11,69
2018-11-18,65
2018-11-25,106
2018-12-02,150
2018-12-09,138
2018-12-16,124
2018-12-23,147
2018-12-30,179
2019-01-06,186
2019-01-13,201
2019-01-20,205
2019-01-27,159
2019-02-03,167
2019-02-10,182
2019-02-17,195
2019-02-24,157
2019-03-03,274
2019-03-10,414
2019-03-17,643
2019-03-24,801
2019-03-31,1112
2019-04-07,1207
2019-04-14,1280
2019-04-21,1432
2019-04-28,1643
2019-05-05,1864
2019-05-12,1624
2019-05-19,1573
2019-05-26,1233
2019-06-02,980
2019-06-09,769
2019-06-16,551
2019-06-23,497
2019-06-30,489
2019-07-07,285
2019-07-14,238
2019-07-21,168
2019-07-28,169
2019-08-04,140
2019-08-11,140
2019-08-18,97
2019-08-25,71
2019-09-01,64
2019-09-08,66
2019-09-15,83
2019-09-22,99
2019-09-29,73
2019-10-06,67
2019-10-13,65
2019-10-20,58
2019-10-27,40
2019-11-03,65
2019-11-10,56
2019-11-17,50
2019-11-24,74
2019-12-01,49
2019-12-08,75
2019-12-15,58
2019-12-22,43
2019-12-29,69
2020-01-05,100
2020-01-12,109
2020-01-19,85
2020-01-26,77
2020-02-02,57
2020-02-09,77
2020-02-16,65
2020-02-23,49
2020-03-01,70
2020-03-08,53
2020-03-15,39
2020-03-22,32
2020-03-29,36
2020-04-05,21
2020-04-12,28
2020-04-19,29
2020-04-26,29
2020-05-03,29
2020-05-10,13
2020-05-17,12
2020-05-24,16
2020-05-31,11
2020-06-07,16
2020-06-14,22
2020-06-21,14
2020-06-28,13
2020-07-05,18
2020-07-12,22
2020-07-19,17
2020-07-26,11
2020-08-02,11
2020-08-09,12
2020-08-16,10
2020-08-23,9
2020-08-30,10
2020-09-06,10
2020-09-13,12
2020-09-20,14
2020-09-27,11
2020-10-04,12
2020-10-11,10
2020-10-18,19
2020-10-25,9
2020-11-01,12
2020-11-08,25
2020-11-15,20
2020-11-22,10
2020-11-29,17
2020-12-06,10
2020-12-13,8
2020-12-20,6
2020-12-27,8
2021-01-03,6
2021-01-10,9
2021-01-17,12
2021-01-24,28
2021-01-31,18
2021-02-07,15
2021-02-14,15
2021-02-21,24
2021-02-28,19
2021-03-07,27
2021-03-14,36
2021-03-21,39
2021-03-28,45
2021-04-04,52
2021-04-11,48
2021-04-18,36
2021-04-25,38
2021-05-02,30
2021-05-09,39
2021-05-16,50
2021-05-23,49
2021-05-30,40
2021-06-06,34
2021-06-13,33
2021-06-20,21
2021-06-27,28
2021-07-04,22
2021-07-11,19
2021-07-18,19
2021-07-25,7
2021-08-01,12
2021-08-08,9
2021-08-15,9
2021-08-22,16
2021-08-29,17
2021-09-05,12
2021-09-12,9
2021-09-19,6
2021-09-26,14
2021-10-03,4
2021-10-10,9
2021-10-17,3
2021-10-24,6
2021-10-31,6
2021-11-07,5
2021-11-14,20
2021-11-21,24
2021-11-28,23
2021-12-05,16
2021-12-12,6
2021-12-19,4
2021-12-26,4
2022-01-02,21
2022-01-09,14
2022-01-16,22
2022-01-23,19
2022-01-30,31
2022-02-06,35
2022-02-13,47
2022-02-20,62
2022-02-27,66
2022-03-06,116
2022-03-13,126
2022-03-20,177
2022-03-27,153
2022-04-03,222
2022-04-10,201
2022-04-17,234
2022-04-24,342
2022-05-01,461
2022-05-08,505
2022-05-15,406
2022-05-22,400
2022-05-29,338
2022-06-05,255
2022-06-12,153
2022-06-19,209
2022-06-26,189
2022-07-03,155
2022-07-10,144
2022-07-17,194
2022-07-24,148
2022-07-31,145
2022-08-07,106
2022-08-14,110
2022-08-21,99
2022-08-28,94
2022-09-04,101
2022-09-11,120
2022-09-18,102
2022-09-25,95
2022-10-02,102
2022-10-09,123
2022-10-16,160
2022-10-23,139
2022-10-30,131
2022-11-06,171
2022-11-13,129
2022-11-20,94
2022-11-27,86
2022-12-04,98
2022-12-11,123
2022-12-18,117
2022-12-25,163
2023-01-01,230
2023-01-08,218
2023-01-15,246
2023-01-22,312
2023-01-29,383
2023-02-05,525
2023-02-12,372
2023-02-19,507
2023-02-26,870
2023-03-05,945
2023-03-12,1125
2023-03-19,1382
2023-03-26,1580
2023-04-02,1420
2023-04-09,1783
2023-04-16,1502
2023-04-23,1572
2023-04-30,1920
2023-05-07,1807
2023-05-14,1731
2023-05-21,1479
2023-05-28,1328
2023-06-04,1238
2023-06-11,1348
2023-06-18,1236
2023-06-25,996
